#File created by PhilippeC at 02/08/17 12:27
#Track: Move count =  total distance = operation count =  operation distance =  X =  Y = 
#SLOPE_REFERENCE 1.758
#From; To; Operation/Move
0,0;484.75,-34.75;Move
484.75,-34.75;NAN,-44.75;altitudeZ
484.75,-44.75;483.75,NAN;Move
483.75,-44.75;NAN,-34.75;altitudeZ
483.75,-34.75;482.75,NAN;Move
482.75,-34.75;NAN,-44.75;altitudeZ
482.75,-44.75;481.75,NAN;Move
481.75,-44.75;NAN,-34.75;altitudeZ
481.75,-34.75;480.75,NAN;Move
480.75,-34.75;NAN,-44.75;altitudeZ
480.75,-44.75;479.75,NAN;Move
479.75,-44.75;NAN,-34.75;altitudeZ
479.75,-34.75;478.75,NAN;Move
478.75,-34.75;NAN,-44.75;altitudeZ
478.75,-44.75;477.75,NAN;Move
477.75,-44.75;NAN,-34.75;altitudeZ
477.75,-34.75;476.75,NAN;Move
476.75,-34.75;NAN,-44.75;altitudeZ
476.75,-44.75;475.75,NAN;Move
475.75,-44.75;NAN,-34.75;altitudeZ
475.75,-34.75;474.75,NAN;Move
474.75,-34.75;NAN,-44.75;altitudeZ
474.75,-44.75;484.75,-144.75;Move
484.75,-144.75;NAN,-154.75;altitudeZ
484.75,-154.75;483.75,NAN;Move
483.75,-154.75;NAN,-144.75;altitudeZ
483.75,-144.75;482.75,NAN;Move
482.75,-144.75;NAN,-154.75;altitudeZ
482.75,-154.75;481.75,NAN;Move
481.75,-154.75;NAN,-144.75;altitudeZ
481.75,-144.75;480.75,NAN;Move
480.75,-144.75;NAN,-154.75;altitudeZ
480.75,-154.75;479.75,NAN;Move
479.75,-154.75;NAN,-144.75;altitudeZ
479.75,-144.75;478.75,NAN;Move
478.75,-144.75;NAN,-154.75;altitudeZ
478.75,-154.75;477.75,NAN;Move
477.75,-154.75;NAN,-144.75;altitudeZ
477.75,-144.75;476.75,NAN;Move
476.75,-144.75;NAN,-154.75;altitudeZ
476.75,-154.75;475.75,NAN;Move
475.75,-154.75;NAN,-144.75;altitudeZ
475.75,-144.75;474.75,NAN;Move
474.75,-144.75;NAN,-154.75;altitudeZ
474.75,-154.75;484.75,-254.75;Move
484.75,-254.75;NAN,-264.75;altitudeZ
484.75,-264.75;483.75,NAN;Move
483.75,-264.75;NAN,-254.75;altitudeZ
483.75,-254.75;482.75,NAN;Move
482.75,-254.75;NAN,-264.75;altitudeZ
482.75,-264.75;481.75,NAN;Move
481.75,-264.75;NAN,-254.75;altitudeZ
481.75,-254.75;480.75,NAN;Move
480.75,-254.75;NAN,-264.75;altitudeZ
480.75,-264.75;479.75,NAN;Move
479.75,-264.75;NAN,-254.75;altitudeZ
479.75,-254.75;478.75,NAN;Move
478.75,-254.75;NAN,-264.75;altitudeZ
478.75,-264.75;477.75,NAN;Move
477.75,-264.75;NAN,-254.75;altitudeZ
477.75,-254.75;476.75,NAN;Move
476.75,-254.75;NAN,-264.75;altitudeZ
476.75,-264.75;475.75,NAN;Move
475.75,-264.75;NAN,-254.75;altitudeZ
475.75,-254.75;474.75,NAN;Move
474.75,-254.75;NAN,-264.75;altitudeZ
474.75,-264.75;484.75,-364.75;Move
484.75,-364.75;NAN,-374.75;altitudeZ
484.75,-374.75;483.75,NAN;Move
483.75,-374.75;NAN,-364.75;altitudeZ
483.75,-364.75;482.75,NAN;Move
482.75,-364.75;NAN,-374.75;altitudeZ
482.75,-374.75;481.75,NAN;Move
481.75,-374.75;NAN,-364.75;altitudeZ
481.75,-364.75;480.75,NAN;Move
480.75,-364.75;NAN,-374.75;altitudeZ
480.75,-374.75;479.75,NAN;Move
479.75,-374.75;NAN,-364.75;altitudeZ
479.75,-364.75;478.75,NAN;Move
478.75,-364.75;NAN,-374.75;altitudeZ
478.75,-374.75;477.75,NAN;Move
477.75,-374.75;NAN,-364.75;altitudeZ
477.75,-364.75;476.75,NAN;Move
476.75,-364.75;NAN,-374.75;altitudeZ
476.75,-374.75;475.75,NAN;Move
475.75,-374.75;NAN,-364.75;altitudeZ
475.75,-364.75;474.75,NAN;Move
474.75,-364.75;NAN,-374.75;altitudeZ
474.75,-374.75;374.75,-34.75;Move
374.75,-34.75;NAN,-44.75;altitudeZ
374.75,-44.75;373.75,NAN;Move
373.75,-44.75;NAN,-34.75;altitudeZ
373.75,-34.75;372.75,NAN;Move
372.75,-34.75;NAN,-44.75;altitudeZ
372.75,-44.75;371.75,NAN;Move
371.75,-44.75;NAN,-34.75;altitudeZ
371.75,-34.75;370.75,NAN;Move
370.75,-34.75;NAN,-44.75;altitudeZ
370.75,-44.75;369.75,NAN;Move
369.75,-44.75;NAN,-34.75;altitudeZ
369.75,-34.75;368.75,NAN;Move
368.75,-34.75;NAN,-44.75;altitudeZ
368.75,-44.75;367.75,NAN;Move
367.75,-44.75;NAN,-34.75;altitudeZ
367.75,-34.75;366.75,NAN;Move
366.75,-34.75;NAN,-44.75;altitudeZ
366.75,-44.75;365.75,NAN;Move
365.75,-44.75;NAN,-34.75;altitudeZ
365.75,-34.75;364.75,NAN;Move
364.75,-34.75;NAN,-44.75;altitudeZ
364.75,-44.75;374.75,-144.75;Move
374.75,-144.75;NAN,-154.75;altitudeZ
374.75,-154.75;373.75,NAN;Move
373.75,-154.75;NAN,-144.75;altitudeZ
373.75,-144.75;372.75,NAN;Move
372.75,-144.75;NAN,-154.75;altitudeZ
372.75,-154.75;371.75,NAN;Move
371.75,-154.75;NAN,-144.75;altitudeZ
371.75,-144.75;370.75,NAN;Move
370.75,-144.75;NAN,-154.75;altitudeZ
370.75,-154.75;369.75,NAN;Move
369.75,-154.75;NAN,-144.75;altitudeZ
369.75,-144.75;368.75,NAN;Move
368.75,-144.75;NAN,-154.75;altitudeZ
368.75,-154.75;367.75,NAN;Move
367.75,-154.75;NAN,-144.75;altitudeZ
367.75,-144.75;366.75,NAN;Move
366.75,-144.75;NAN,-154.75;altitudeZ
366.75,-154.75;365.75,NAN;Move
365.75,-154.75;NAN,-144.75;altitudeZ
365.75,-144.75;364.75,NAN;Move
364.75,-144.75;NAN,-154.75;altitudeZ
364.75,-154.75;374.75,-254.75;Move
374.75,-254.75;NAN,-264.75;altitudeZ
374.75,-264.75;373.75,NAN;Move
373.75,-264.75;NAN,-254.75;altitudeZ
373.75,-254.75;372.75,NAN;Move
372.75,-254.75;NAN,-264.75;altitudeZ
372.75,-264.75;371.75,NAN;Move
371.75,-264.75;NAN,-254.75;altitudeZ
371.75,-254.75;370.75,NAN;Move
370.75,-254.75;NAN,-264.75;altitudeZ
370.75,-264.75;369.75,NAN;Move
369.75,-264.75;NAN,-254.75;altitudeZ
369.75,-254.75;368.75,NAN;Move
368.75,-254.75;NAN,-264.75;altitudeZ
368.75,-264.75;367.75,NAN;Move
367.75,-264.75;NAN,-254.75;altitudeZ
367.75,-254.75;366.75,NAN;Move
366.75,-254.75;NAN,-264.75;altitudeZ
366.75,-264.75;365.75,NAN;Move
365.75,-264.75;NAN,-254.75;altitudeZ
365.75,-254.75;364.75,NAN;Move
364.75,-254.75;NAN,-264.75;altitudeZ
364.75,-264.75;374.75,-364.75;Move
374.75,-364.75;NAN,-374.75;altitudeZ
374.75,-374.75;373.75,NAN;Move
373.75,-374.75;NAN,-364.75;altitudeZ
373.75,-364.75;372.75,NAN;Move
372.75,-364.75;NAN,-374.75;altitudeZ
372.75,-374.75;371.75,NAN;Move
371.75,-374.75;NAN,-364.75;altitudeZ
371.75,-364.75;370.75,NAN;Move
370.75,-364.75;NAN,-374.75;altitudeZ
370.75,-374.75;369.75,NAN;Move
369.75,-374.75;NAN,-364.75;altitudeZ
369.75,-364.75;368.75,NAN;Move
368.75,-364.75;NAN,-374.75;altitudeZ
368.75,-374.75;367.75,NAN;Move
367.75,-374.75;NAN,-364.75;altitudeZ
367.75,-364.75;366.75,NAN;Move
366.75,-364.75;NAN,-374.75;altitudeZ
366.75,-374.75;365.75,NAN;Move
365.75,-374.75;NAN,-364.75;altitudeZ
365.75,-364.75;364.75,NAN;Move
364.75,-364.75;NAN,-374.75;altitudeZ
364.75,-374.75;264.75,-34.75;Move
264.75,-34.75;NAN,-44.75;altitudeZ
264.75,-44.75;263.75,NAN;Move
263.75,-44.75;NAN,-34.75;altitudeZ
263.75,-34.75;262.75,NAN;Move
262.75,-34.75;NAN,-44.75;altitudeZ
262.75,-44.75;261.75,NAN;Move
261.75,-44.75;NAN,-34.75;altitudeZ
261.75,-34.75;260.75,NAN;Move
260.75,-34.75;NAN,-44.75;altitudeZ
260.75,-44.75;259.75,NAN;Move
259.75,-44.75;NAN,-34.75;altitudeZ
259.75,-34.75;258.75,NAN;Move
258.75,-34.75;NAN,-44.75;altitudeZ
258.75,-44.75;257.75,NAN;Move
257.75,-44.75;NAN,-34.75;altitudeZ
257.75,-34.75;256.75,NAN;Move
256.75,-34.75;NAN,-44.75;altitudeZ
256.75,-44.75;255.75,NAN;Move
