#File created by TrackWriter at 13/04/17 14:32
#Track: Move count = 1966, total distance = 922431, operation count = 936, operation distance = 906621, X = 916100, Y = 9282
#SLOPE_REFERENCE 1830.998,1.758
#From; To; Operation/Move
-20.972,-2198.862;662.714,-2288.959;Move
662.714,-2288.959;684.149,-2291.784;CircularMove,673.697,-2288.354,11,true
684.149,-2291.784;687.715,-2292.254;Move
687.715,-2292.254;699.373,-2293.79;CircularMove,693.7,-2291.835,6,true
699.373,-2293.79;800.873,nan;Operation
800.873,-2293.79;810.529,nan;Move
810.529,-2293.79;912.92,nan;Operation
912.92,-2293.79;922.481,nan;Move
922.481,-2293.79;1024.97,nan;Operation
1024.97,-2293.79;1034.431,nan;Move
1034.431,-2293.79;1136.194,nan;Operation
1136.194,-2293.79;1145.624,-2286.866;CircularMove,1141.7,-2291.405,6,true
1145.624,-2286.866;1152.543,-2281.784;Move
1152.543,-2281.784;682.519,nan;Operation
682.519,-2281.784;673.085,-2277.371;CircularMove,673.697,-2288.354,11,false
673.085,-2277.371;656.853,-2269.778;Move
656.853,-2269.778;1178.357,nan;Operation
1178.357,-2269.778;1181.901,-2257.772;Move
1181.901,-2257.772;653.284,nan;Operation
653.284,-2257.772;649.716,-2245.767;Move
649.716,-2245.767;1185.445,nan;Operation
1185.445,-2245.767;1188.988,-2233.761;Move
1188.988,-2233.761;646.147,nan;Operation
646.147,-2233.761;642.578,-2221.755;Move
642.578,-2221.755;1192.532,nan;Operation
1192.532,-2221.755;1196.076,-2209.749;Move
1196.076,-2209.749;639.009,nan;Operation
639.009,-2209.749;635.44,-2197.743;Move
635.44,-2197.743;1199.62,nan;Operation
1199.62,-2197.743;1195.321,-2185.737;Move
1195.321,-2185.737;640.917,nan;Operation
640.917,-2185.737;632.472,-2177.699;CircularMove,637.673,-2180.689,6,true
632.472,-2177.699;628.302,-2173.731;Move
628.302,-2173.731;1206.707,nan;Operation
1206.707,-2173.731;1210.251,-2161.725;Move
1210.251,-2161.725;624.734,nan;Operation
624.734,-2161.725;621.165,-2149.719;Move
621.165,-2149.719;1213.795,nan;Operation
1213.795,-2149.719;1217.339,-2137.713;Move
1217.339,-2137.713;617.596,nan;Operation
617.596,-2137.713;614.027,-2125.707;Move
614.027,-2125.707;1220.882,nan;Operation
1220.882,-2125.707;1224.426,-2113.701;Move
1224.426,-2113.701;610.458,nan;Operation
610.458,-2113.701;606.889,-2101.696;Move
606.889,-2101.696;1227.97,nan;Operation
1227.97,-2101.696;1231.514,-2089.69;Move
